smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"MERIDEN, CONN",1967,205,205,156,4,0,45,0,2,2580,2580,2447,46,0,88,0,CT,CT,1973,-6,0
"MIAMI, FLA",1967,14904,14904,3777,822,455,9850,0,287,179160,179160,65570,7013,2821,103756,0,FL,FL,Inf,-Inf,0
"MIDLAND, TEX",1967,404,404,298,2,0,104,0,3,6998,6998,6229,24,0,745,0,TX,TX,Inf,-Inf,0
"MILWAUKEE, WIS",1967,9671,9671,4723,544,211,4193,0,179,141643,141643,92487,6195,2068,40894,0,WI,WI,1972,-5,0
"MINNEAPOLIS-ST PAUL, MN-WI",1967,16661,16082,6546,364,243,8929,579,335,227366,222004,136147,4782,2321,78755,5362,MN-WI,MN,1972,-5,0
"MOBILE, ALA",1967,1101,1101,791,24,3,283,0,11,9966,9966,8624,99,13,1230,0,AL,AL,Inf,-Inf,0
"MONROE, LA",1967,362,362,225,4,36,97,0,4,4287,4287,3492,15,256,524,0,LA,LA,Inf,-Inf,0
"MONTGOMERY, ALA",1967,1869,1369,1080,14,42,233,600,9,20059,14678,13040,58,297,1284,5381,AL,AL,Inf,-Inf,0
"MUNCIE, IND",1967,476,476,378,4,0,94,0,5,5165,5165,4514,18,0,633,0,IN,IN,1972,-5,0
"MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH",1967,654,654,522,4,0,128,0,12,9150,9150,8071,45,0,1034,0,MI,MI,Inf,-Inf,0
"NASHVILLE-DAVIDSON, TENN",1967,5899,5633,3185,388,126,1934,266,32,55947,52197,37871,2030,422,11869,3755,TN,TN,Inf,-Inf,0
"NEWARK, NJ",1967,7809,6761,3977,294,51,2439,1048,94,115140,101537,81677,3014,373,16473,13602,NJ,NJ,1989,-22,0
"NEW BEDFORD, MASS",1967,523,523,513,2,8,0,0,0,7119,7119,7077,8,35,0,0,MA,MA,1977,-10,0
"NEW BRITAIN, CONN",1967,1335,1195,445,140,0,610,140,34,12503,10645,5311,1170,0,4164,1858,CT,CT,1973,-6,0
"NEW HAVEN-WEST HAVEN, CONN",1967,2331,2331,1000,116,45,1170,0,59,25156,25156,16967,990,433,6766,0,CT,CT,1973,-6,0
"NEW LONDON-GROTON-NORWICH, CONN",1967,687,687,435,6,4,242,0,24,9050,9050,7529,71,25,1425,0,CT,CT,1973,-6,0
"NEW ORLEANS, LA",1967,7488,7381,4061,714,657,1949,107,111,103676,102427,74223,7892,5895,14417,1249,LA,LA,Inf,-Inf,0
"NEWPORT NEWS-HAMPTON, VA",1967,2487,2487,1838,0,0,649,0,25,27247,27247,23235,0,0,4012,0,VA,VA,1973,-6,0
